Timestamp,Feed Type,Articles Shown,Q1: Familiarity,Q2: Prior Knowledge,Q3: News Source,Q4: International News Frequency,Q5: Posts Read Count,Q6: Saw Ads,Q7: Answer,Q7: Confidence,Q8: Answer,Q8: Confidence,Q9: Answer,Q9: Confidence,Q10: Answer,Q10: Confidence,Q11: Answer,Q11: Confidence,Q12: Answer,Q12: Confidence,Q13: Answer,Q13: Confidence,Q14: Answer,Q14: Confidence,Q15: Answer,Q15: Confidence,Q16: Answer,Q16: Confidence,Q17: Trust,Q18: Bias,Q19: Emotion,Q20: Contradiction,Q21: Charged Language,Q22: Context,Q23: Attention,Q24: Age,Q25: Education,Q26: Country,Q27: Politics
4/18/2026 20:56:35,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Social media,Sometimes,4-6,Yes,TRUE,0,TRUE,15,NEI,41,TRUE,90,TRUE,95,FALSE,100,NEI,20,NEI,14,NEI,12,NEI,13,1,3,0,1,0,1,Somewhat agree,25-34,Doctoral,United States,6
4/18/2026 22:05:32,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Online news,Often,1-3,Yes,TRUE,70,FALSE,20,TRUE,100,TRUE,100,FALSE,100,FALSE,0,TRUE,100,NEI,50,NEI,50,NEI,50,5,0,2,0,0,3,Somewhat agree,25-34,Bachelors,USA,1
4/19/2026 23:51:47,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Social media,Never,1-3,Unsure,TRUE,0,TRUE,0,TRUE,100,NEI,50,NEI,50,FALSE,100,NEI,50,NEI,50,TRUE,59,TRUE,50,6,5,0,5,4,1,Somewhat agree,18-24,Bachelors,US,4
4/20/2026 1:26:19,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Social media,Sometimes,0,Unsure,TRUE,9,FALSE,26,FALSE,22,TRUE,13,TRUE,19,FALSE,92,TRUE,21,TRUE,6,TRUE,12,TRUE,15,4,4,5,3,4,4,Somewhat agree,18-24,Some college,United States,2
4/20/2026 13:22:25,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Online news,Rarely,1-3,Yes,FALSE,3,FALSE,10,TRUE,90,FALSE,80,TRUE,97,FALSE,100,TRUE,100,NEI,50,TRUE,100,NEI,50,5,1,0,3,2,3,Somewhat agree,45-54,Masters,United States ,1
4/20/2026 13:31:10,recency,"36,53,64,50,12,61,35,54,6,2,37,43",3,No,Online news,Often,7-10,Yes,,0,,50,,15,,24,,7,,0,,86,,10,,0,,3,3,4,1,2,4,4,Somewhat agree,45-54,Bachelors,United States,1
4/20/2026 16:22:53,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Online news,Often,1-3,Yes,NEI,50,NEI,50,NEI,50,NEI,50,NEI,50,FALSE,50,TRUE,50,NEI,50,NEI,50,NEI,50,1,3,0,0,0,1,Somewhat agree,25-34,Masters,United States,1
4/20/2026 18:21:09,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Social media,Sometimes,1-3,Yes,NEI,50,FALSE,50,TRUE,100,TRUE,50,NEI,25,FALSE,100,FALSE,25,NEI,25,FALSE,50,TRUE,100,6,2,6,1,5,6,Somewhat agree,18-24,Bachelors,United States,4
4/20/2026 18:48:38,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Social media,Rarely,0,Yes,NEI,50,NEI,50,NEI,50,NEI,50,NEI,50,NEI,50,NEI,50,NEI,50,NEI,50,NEI,50,5,1,0,2,3,2,Disagree,18-24,Some college,United States,5
4/21/2026 0:05:06,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Social media,Often,0,Yes,TRUE,50,TRUE,50,TRUE,50,NEI,50,NEI,50,FALSE,78,NEI,50,NEI,50,NEI,77,NEI,50,5,7,1,2,3,4,Somewhat agree,25-34,Bachelors,South Korea,5
4/21/2026 1:16:01,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Social media,Sometimes,0,Yes,NEI,50,NEI,50,NEI,50,NEI,50,NEI,50,FALSE,50,NEI,50,NEI,50,NEI,50,NEI,50,3,3,0,3,5,3,Somewhat agree,18-24,Bachelors,,2
4/21/2026 8:10:50,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Online news,Often,0,Yes,TRUE,0,FALSE,0,TRUE,0,TRUE,50,TRUE,50,FALSE,100,NEI,50,TRUE,50,FALSE,50,FALSE,50,5,1,1,2,2,2,Somewhat agree,25-34,Masters,US,3
4/21/2026 21:53:16,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Online news,Sometimes,0,No,TRUE,68,NEI,74,NEI,50,NEI,50,TRUE,50,NEI,50,NEI,50,NEI,50,NEI,50,TRUE,65,4,4,2,4,4,3,Somewhat agree,18-24,HS,US,3
4/22/2026 9:24:51,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Social media,Rarely,1-3,Yes,,100,,50,,50,,50,,50,,50,,50,,50,,50,,50,2,6,3,4,3,3,Disagree,25-34,Bachelors,korea,7
4/22/2026 15:21:27,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,None,Sometimes,7-10,Yes,NEI,50,NEI,50,NEI,50,NEI,50,NEI,50,FALSE,50,NEI,50,NEI,50,NEI,50,NEI,50,6,0,0,0,1,0,Somewhat agree,25-34,Bachelors,United States,1
4/22/2026 16:23:42,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Social media,Rarely,1-3,Yes,NEI,100,NEI,100,NEI,100,NEI,100,NEI,100,NEI,100,NEI,100,NEI,100,NEI,50,NEI,100,5,4,0,3,5,2,Somewhat agree,25-34,Bachelors,US,3
4/22/2026 17:24:17,recency,"36,53,64,50,12,61,35,54,6,2,37,43",1,No,Podcasts/radio,Often,1-3,Yes,NEI,10,FALSE,80,TRUE,90,TRUE,50,NEI,10,FALSE,95,TRUE,80,NEI,10,NEI,10,NEI,10,5,2,1,2,5,3,Somewhat agree,25-34,Masters,United States,2